,target_chemblid,year,max_phase,size,cumsum,best_phase,total_compounds,number_of_targets,avg,difference,r_difference,peak_to_current,target
43091,CHEMBL3475,2016,0.0,0.0,393,1,373003.0,1151,324.068635969,0.0,1.51872157272e-05,0.0659209439888,Plasminogen activator inhibitor-1
65123,CHEMBL5274,2016,0.0,0.0,145,1,373003.0,1151,324.068635969,0.0,2.84599408746e-06,0.0758905301675,Tyrosine-protein kinase receptor Tie-1
